date,dose_type,N
2022-05-15,,1506
2022-05-16,,4410
2022-05-17,,4011
2022-05-18,,4608
2022-05-19,,3761
2022-05-20,,5410
2022-05-21,,2690
2022-05-22,,1493
2022-05-23,,4913
2022-05-24,,4472
2022-05-25,,4955
2022-05-26,,5116
2022-05-27,,6182
2022-05-28,,2855
2022-05-29,,1583
2022-05-30,,422
2022-05-31,,3777
2022-06-01,,4721
2022-06-02,,3859
2022-06-03,,5186
2022-06-04,,3665
2022-06-05,,5374
2022-06-06,,3838
2022-06-07,,2739
2022-06-08,,3825
2022-06-09,,3334
2022-06-10,,4291
2022-06-11,,3415
2022-06-12,,930
2022-06-13,,3105
2022-06-14,,2898
2022-06-15,,3317
2022-06-16,,2580
2022-06-17,,3405
2022-06-18,,2014
2022-06-19,,771
2022-06-20,,2592
2022-06-21,,2964
2022-06-22,,3669
2022-06-23,,3355
2022-06-24,,4134
2022-06-25,,2817
2022-06-26,,781
2022-06-27,,2949
2022-06-28,,3037
2022-06-29,,3225
2022-06-30,,3190
2022-07-01,,3258
2022-07-02,,1532
2022-07-03,,763
2022-07-04,,98
2022-07-05,,2685
2022-07-06,,2925
2022-07-07,,2705
2022-07-08,,3259
2022-07-09,,1990
2022-07-10,,3496
2022-07-11,,2704
2022-07-12,,2577
2022-07-13,,3007
2022-07-14,,3243
2022-07-15,,3800
2022-07-16,,2424
2022-07-17,,1165
2022-07-18,,3515
2022-07-19,,3195
2022-07-20,,3456
2022-07-21,,3292
2022-07-22,,3451
2022-07-23,,2532
2022-07-24,,860
2022-07-25,,3061
2022-07-26,,2823
2022-07-27,,2963
2022-07-28,,2697
2022-07-29,,3016
2022-07-30,,1585
2022-07-31,,598
2022-08-01,,2304
2022-08-02,,2100
2022-08-03,,2513
2022-08-04,,2490
2022-08-05,,2781
2022-08-06,,1530
2022-08-07,,2906
2022-08-08,,2345
2022-08-09,,2146
2022-08-10,,2518
2022-08-11,,2323
2022-08-12,,2383
2022-08-13,,1279
2022-08-14,,520
2022-08-15,,2194
2022-08-16,,2057
2022-08-17,,2401
2022-08-18,,1909
2022-08-19,,2133
2022-08-20,,1063
2022-08-21,,514
2022-08-22,,2078
2022-08-23,,1914
2022-08-24,,2137
2022-08-25,,1742
2022-08-26,,2000
2022-08-27,,1047
2022-08-28,,448
2022-08-29,,1796
2022-08-30,,1639
2022-08-31,,1997
2022-09-01,2022-2023 vaccine doses,1099
2022-09-02,2022-2023 vaccine doses,1196
2022-09-03,2022-2023 vaccine doses,759
2022-09-04,2022-2023 vaccine doses,204
2022-09-05,2022-2023 vaccine doses,137
2022-09-06,2022-2023 vaccine doses,1943
2022-09-07,2022-2023 vaccine doses,3629
2022-09-08,2022-2023 vaccine doses,4514
2022-09-09,2022-2023 vaccine doses,6856
2022-09-10,2022-2023 vaccine doses,4407
2022-09-11,2022-2023 vaccine doses,2397
2022-09-12,2022-2023 vaccine doses,6622
2022-09-13,2022-2023 vaccine doses,6971
2022-09-14,2022-2023 vaccine doses,7842
2022-09-15,2022-2023 vaccine doses,7716
